Year,City,Listings
2013,Boston,2214
2013,Chicago,1907
2013,Denver,697
2013,Houston,419
2013,Los Angeles,8750
2013,Miami,3754
2013,Nashville,409
2013,New York,21724
2013,San Francisco,7352
2013,Seattle,1633
2014,Boston,6295
2014,Chicago,5924
2014,Denver,2359
2014,Houston,1527
2014,Los Angeles,23780
2014,Miami,11312
2014,Nashville,1737
2014,New York,53415
2014,San Francisco,16321
2014,Seattle,4345
2015,Boston,14392
2015,Chicago,15063
2015,Denver,6146
2015,Houston,4713
2015,Los Angeles,52743
2015,Miami,27595
2015,Nashville,4815
2015,New York,103094
2015,San Francisco,31326
2015,Seattle,10434
2016,Boston,23981
2016,Chicago,25463
2016,Denver,11903
2016,Houston,13971
2016,Los Angeles,89343
2016,Miami,49102
2016,Nashville,9191
2016,New York,152857
2016,San Francisco,48041
2016,Seattle,17482
2017,Boston,28957
2017,Chicago,28940
2017,Denver,14447
2017,Houston,23202
2017,Los Angeles,107456
2017,Miami,59616
2017,Nashville,11410
2017,New York,175916
2017,San Francisco,55217
2017,Seattle,20774
2018,Boston,28957
2018,Chicago,28940
2018,Denver,14447
2018,Houston,23202
2018,Los Angeles,107456
2018,Miami,59616
2018,Nashville,11410
2018,New York,175916
2018,San Francisco,55217
2018,Seattle,20774
