neighborhood,total,cleanliness,communication,check-in,accuracy,location,value
Back Bay,4.56,4.72,4.78,4.9,4.9,4.81,4.7
Downtown,4.67,4.81,4.88,4.89,4.91,4.92,4.51
West End,4.72,4.81,4.88,4.87,4.93,4.88,4.71
Beacon Hill,4.87,4.91,4.95,4.87,4.91,4.88,4.8
South Boston Waterfront,4.63,4.9,4.73,4.9,4.4,4.9,4.4
Charlestown,4.95,4.95,4.98,4.96,4.97,4.90,4.91
Dorchester,4.67,4.81,4.78,4.89,4.91,4.81,4.6
South End,4.78,4.8,4.81,4.79,4.8,4.91,4.7
North End,4.95,4.95,4.99,4.99,4.91,4.94,4.89
South Boston,4.79,4.98,4.9,4.9,4.9,4.8,4.7
Jamaica Plain,4.86,4.88,4.9,4.87,4.91,4.97,4.8
